testscore,attend,gpa,act,attendact,gpaact
54.7269,84.375,2.6400001,0,0,0
50.5252,68.75,3.52,1,68.75,3.52
58.9286,93.75,2.46,1,93.75,2.46
52.6261,96.875,2.6099999,0,0,0
67.3319,100,3.3199999,0,0,0
48.4244,90.625,2.9300001,1,90.625,2.9300001
16.9118,93.75,1.9400001,0,0,0
67.3319,81.25,2.1199999,0,0,0
50.5252,75,2.0599999,1,75,2.0599999
50.5252,90.625,2.73,0,0,0
52.6261,93.75,2.29,0,0,0
42.1218,59.375,2.29,1,59.375,2.29
52.6261,59.375,2.6400001,1,59.375,2.6400001
65.2311,90.625,3.3900001,1,90.625,3.3900001
56.8277,90.625,2.76,1,90.625,2.76
44.2227,93.75,2.3299999,0,0,0
42.1218,62.5,1.98,0,0,0
40.021,100,2.29,1,100,2.29
48.4244,96.875,3.02,0,0,0
42.1218,90.625,2.3299999,0,0,0
46.3235,84.375,2.54,0,0,0
52.6261,78.125,2.3900001,0,0,0
35.8193,96.875,2.4300001,0,0,0
65.2311,68.75,3.8800001,1,68.75,3.8800001
65.2311,84.375,2.5799999,1,84.375,2.5799999
61.0294,90.625,3.3599999,1,90.625,3.3599999
63.1303,100,3.02,1,100,3.02
42.1218,78.125,2.1199999,0,0,0
58.9286,93.75,2.3699999,0,0,0
52.6261,78.125,2.9300001,0,0,0
58.9286,84.375,2.02,1,84.375,2.02
50.5252,84.375,2.78,0,0,0
48.4244,71.875,2.8499999,1,71.875,2.8499999
54.7269,100,2.28,0,0,0
52.6261,96.875,3.46,0,0,0
44.2227,78.125,2.6300001,1,78.125,2.6300001
63.1303,56.25,2.1900001,0,0,0
63.1303,100,3.5699999,0,0,0
50.5252,96.875,1.98,0,0,0
35.8193,75,3.05,1,75,3.05
61.0294,96.875,3.45,1,96.875,3.45
61.0294,96.875,2.6300001,0,0,0
35.8193,100,2.6199999,1,100,2.6199999
46.3235,78.125,2.1300001,0,0,0
50.5252,96.875,2.4200001,0,0,0
67.3319,100,3.4300001,1,100,3.4300001
35.8193,93.75,2.3499999,0,0,0
46.3235,93.75,3.6099999,1,93.75,3.6099999
56.8277,93.75,2.8599999,1,93.75,2.8599999
56.8277,31.25,2.05,1,31.25,2.05
44.2227,59.375,2.95,1,59.375,2.95
37.9202,93.75,2.4100001,0,0,0
52.6261,53.125,2.3199999,0,0,0
48.4244,84.375,2.3,0,0,0
42.1218,84.375,1.79,0,0,0
58.9286,84.375,2.3,0,0,0
40.021,87.5,2.48,0,0,0
69.4328,93.75,2.8699999,0,0,0
46.3235,93.75,2.02,1,93.75,2.02
44.2227,93.75,2.6600001,0,0,0
44.2227,96.875,2.8099999,1,96.875,2.8099999
54.7269,81.25,2.3399999,0,0,0
61.0294,78.125,2.53,1,78.125,2.53
40.021,75,2.0899999,0,0,0
69.4328,59.375,2.6700001,0,0,0
33.7185,68.75,1.9,1,68.75,1.9
40.021,87.5,2.8,0,0,0
69.4328,100,3.9300001,1,100,3.9300001
48.4244,90.625,2.55,1,90.625,2.55
42.1218,59.375,2.1700001,0,0,0
40.021,62.5,1.58,0,0,0
56.8277,90.625,2.1199999,0,0,0
37.9202,81.25,2.2,0,0,0
56.8277,81.25,2.02,1,81.25,2.02
48.4244,71.875,3.45,0,0,0
37.9202,84.375,1.96,0,0,0
46.3235,96.875,2.78,0,0,0
69.4328,96.875,3.5899999,1,96.875,3.5899999
35.8193,90.625,2,0,0,0
48.4244,96.875,3.5899999,1,96.875,3.5899999
54.7269,75,2.04,1,75,2.04
42.1218,78.125,2.1199999,0,0,0
54.7269,93.75,3.3499999,0,0,0
48.4244,100,2.4100001,0,0,0
37.9202,93.75,2.5599999,0,0,0
50.5252,71.875,2.3599999,0,0,0
48.4244,75,2.5899999,1,75,2.5899999
54.7269,100,3.1700001,1,100,3.1700001
44.2227,62.5,2.6099999,0,0,0
52.6261,81.25,2.95,0,0,0
50.5252,84.375,2.2,0,0,0
48.4244,75,2.52,1,75,2.52
48.4244,93.75,2.55,0,0,0
52.6261,96.875,2.9000001,1,96.875,2.9000001
40.021,71.875,2.53,1,71.875,2.53
54.7269,78.125,2.27,0,0,0
50.5252,90.625,2.71,0,0,0
67.3319,87.5,2,1,87.5,2
40.021,62.5,2.29,0,0,0
42.1218,96.875,1.96,1,96.875,1.96
67.3319,96.875,2.46,0,0,0
52.6261,71.875,2.1800001,0,0,0
58.9286,78.125,3.05,0,0,0
44.2227,87.5,2.47,0,0,0
52.6261,90.625,2.76,1,90.625,2.76
42.1218,53.125,1.75,0,0,0
58.9286,87.5,2.74,0,0,0
69.4328,100,3.0699999,0,0,0
40.021,62.5,1.91,0,0,0
37.9202,6.25,2.25,1,6.25,2.25
42.1218,65.625,2.03,0,0,0
65.2311,87.5,3.0599999,1,87.5,3.0599999
58.9286,81.25,2.26,0,0,0
37.9202,75,3.1900001,1,75,3.1900001
37.9202,96.875,2.5699999,0,0,0
58.9286,90.625,2.74,0,0,0
44.2227,65.625,2.1700001,0,0,0
48.4244,75,3.3,1,75,3.3
52.6261,62.5,2.53,1,62.5,2.53
35.8193,93.75,2.0699999,0,0,0
58.9286,96.875,3.25,1,96.875,3.25
35.8193,100,2.8199999,0,0,0
61.0294,71.875,2.45,0,0,0
54.7269,93.75,3.02,0,0,0
40.021,87.5,2.8399999,0,0,0
48.4244,78.125,3.3900001,0,0,0
58.9286,87.5,0.85699999,0,0,0
63.1303,75,2.3099999,1,75,2.3099999
37.9202,81.25,2.96,0,0,0
44.2227,78.125,2.3800001,0,0,0
46.3235,84.375,2.1500001,0,0,0
56.8277,71.875,1.9,0,0,0
35.8193,90.625,1.8,0,0,0
56.8277,68.75,1.74,0,0,0
50.5252,87.5,2.22,0,0,0
35.8193,78.125,2.49,0,0,0
37.9202,78.125,2.9200001,0,0,0
52.6261,84.375,1.98,0,0,0
58.9286,71.875,1.83,0,0,0
50.5252,100,3.28,0,0,0
44.2227,84.375,1.98,0,0,0
48.4244,96.875,3.02,0,0,0
37.9202,78.125,2.8699999,1,78.125,2.8699999
50.5252,81.25,2.75,0,0,0
61.0294,90.625,3.45,1,90.625,3.45
42.1218,87.5,3.21,1,87.5,3.21
63.1303,93.75,2.4300001,0,0,0
29.5168,90.625,2.5599999,0,0,0
46.3235,90.625,3.4200001,0,0,0
42.1218,87.5,2.4300001,0,0,0
61.0294,100,3.49,0,0,0
48.4244,78.125,2.3399999,0,0,0
52.6261,87.5,2.48,1,87.5,2.48
50.5252,87.5,3.21,0,0,0
46.3235,75,2.0999999,0,0,0
54.7269,90.625,2.8199999,1,90.625,2.8199999
73.6345,93.75,3.22,1,93.75,3.22
40.021,90.625,2.0999999,0,0,0
61.0294,87.5,1.67,0,0,0
63.1303,78.125,3.6400001,1,78.125,3.6400001
56.8277,93.75,2.45,1,93.75,2.45
56.8277,100,2.53,0,0,0
52.6261,90.625,2.3900001,0,0,0
44.2227,87.5,2.6300001,0,0,0
58.9286,75,2.54,1,75,2.54
56.8277,81.25,3.54,1,81.25,3.54
44.2227,9.375,1.85,0,0,0
63.1303,46.875,2.4400001,1,46.875,2.4400001
54.7269,96.875,3.3099999,0,0,0
58.9286,78.125,2.3499999,0,0,0
42.1218,84.375,2.22,0,0,0
73.6345,84.375,3.2,1,84.375,3.2
31.6177,84.375,2.5799999,0,0,0
61.0294,90.625,3.6099999,1,90.625,3.6099999
46.3235,100,2.46,0,0,0
50.5252,71.875,3.3399999,1,71.875,3.3399999
44.2227,100,3.1300001,0,0,0
54.7269,87.5,2.79,1,87.5,2.79
52.6261,96.875,2.3599999,0,0,0
58.9286,78.125,3.29,1,78.125,3.29
46.3235,93.75,2.3699999,0,0,0
58.9286,75,3.5699999,1,75,3.5699999
54.7269,68.75,2.0699999,1,68.75,2.0699999
58.9286,96.875,3.2,1,96.875,3.2
48.4244,50,1.98,0,0,0
42.1218,87.5,2.8,0,0,0
42.1218,96.875,2.98,0,0,0
40.021,65.625,2.8499999,0,0,0
50.5252,28.125,1.95,0,0,0
42.1218,75,1.89,0,0,0
63.1303,96.875,3.29,0,0,0
50.5252,87.5,2.76,1,87.5,2.76
67.3319,81.25,1.78,0,0,0
50.5252,96.875,2.8900001,0,0,0
50.5252,62.5,1.95,1,62.5,1.95
58.9286,71.875,2.48,1,71.875,2.48
46.3235,90.625,2.3,0,0,0
67.3319,100,1.86,0,0,0
58.9286,100,2.7,1,100,2.7
50.5252,90.625,2.28,0,0,0
35.8193,87.5,2.6900001,0,0,0
67.3319,96.875,2.47,1,96.875,2.47
42.1218,87.5,2.6700001,0,0,0
42.1218,96.875,2.4000001,0,0,0
71.5336,93.75,3.45,1,93.75,3.45
52.6261,84.375,2.3499999,0,0,0
46.3235,78.125,2.9200001,0,0,0
50.5252,84.375,2.73,0,0,0
42.1218,78.125,2.6800001,0,0,0
61.0294,100,3.52,0,0,0
37.9202,31.25,1.41,0,0,0
58.9286,78.125,2.9400001,0,0,0
42.1218,96.875,3.3199999,0,0,0
42.1218,90.625,2.9100001,0,0,0
50.5252,84.375,2.1300001,1,84.375,2.1300001
56.8277,93.75,3.1099999,1,93.75,3.1099999
42.1218,100,2.9400001,0,0,0
61.0294,96.875,3.53,1,96.875,3.53
52.6261,100,2.8299999,0,0,0
44.2227,90.625,2.6600001,1,90.625,2.6600001
50.5252,75,2.1199999,0,0,0
42.1218,65.625,2.2,0,0,0
46.3235,65.625,2.25,1,65.625,2.25
63.1303,100,3.22,1,100,3.22
50.5252,87.5,2.95,0,0,0
61.0294,100,2.6600001,0,0,0
48.4244,87.5,2.4100001,0,0,0
52.6261,87.5,2.5899999,0,0,0
31.6177,93.75,2.55,0,0,0
56.8277,93.75,3.48,1,93.75,3.48
50.5252,87.5,2.9100001,0,0,0
50.5252,90.625,2.28,0,0,0
46.3235,53.125,2.49,1,53.125,2.49
48.4244,100,2.9400001,0,0,0
46.3235,81.25,3.1099999,1,81.25,3.1099999
54.7269,96.875,2.6900001,0,0,0
40.021,93.75,3.3599999,1,93.75,3.3599999
63.1303,81.25,2.1199999,0,0,0
54.7269,90.625,2.4100001,0,0,0
42.1218,87.5,2.3,0,0,0
46.3235,78.125,2.0699999,1,78.125,2.0699999
65.2311,100,3.1800001,1,100,3.1800001
54.7269,96.875,2.6199999,1,96.875,2.6199999
48.4244,75,1.74,1,75,1.74
52.6261,84.375,3.1500001,1,84.375,3.1500001
52.6261,71.875,2.3099999,0,0,0
50.5252,90.625,2.8399999,0,0,0
42.1218,81.25,2.0699999,0,0,0
40.021,68.75,2.1300001,0,0,0
52.6261,90.625,2.55,1,90.625,2.55
58.9286,90.625,2.79,1,90.625,2.79
50.5252,84.375,2.3900001,0,0,0
40.021,56.25,2.1900001,0,0,0
44.2227,84.375,2.1400001,0,0,0
73.6345,90.625,3.8399999,1,90.625,3.8399999
46.3235,71.875,3.21,0,0,0
52.6261,78.125,2.6800001,0,0,0
35.8193,87.5,2.46,0,0,0
48.4244,93.75,2.3399999,1,93.75,2.3399999
40.021,75,2.6199999,1,75,2.6199999
58.9286,93.75,2.6099999,0,0,0
75.7353,100,3.8099999,1,100,3.8099999
35.8193,87.5,2.4200001,0,0,0
48.4244,90.625,2.45,0,0,0
69.4328,78.125,2.9300001,1,78.125,2.9300001
63.1303,96.875,3.48,1,96.875,3.48
56.8277,96.875,2.96,0,0,0
58.9286,93.75,2.3599999,0,0,0
42.1218,71.875,2.8900001,1,71.875,2.8900001
56.8277,96.875,3.02,1,96.875,3.02
40.021,100,2.5899999,0,0,0
37.9202,100,2.5699999,0,0,0
56.8277,93.75,2.53,1,93.75,2.53
50.5252,87.5,3.6600001,1,87.5,3.6600001
40.021,81.25,2.0999999,0,0,0
58.9286,75,1.8099999,0,0,0
35.8193,87.5,2.3900001,0,0,0
46.3235,46.875,2.03,1,46.875,2.03
46.3235,87.5,2.5899999,0,0,0
29.5168,90.625,1.92,0,0,0
48.4244,84.375,1.85,0,0,0
65.2311,87.5,3.54,1,87.5,3.54
61.0294,96.875,2.5699999,0,0,0
52.6261,90.625,3.27,1,90.625,3.27
25.3151,93.75,2.4400001,0,0,0
61.0294,75,2.3699999,0,0,0
25.3151,96.875,2.6300001,0,0,0
46.3235,87.5,2.6800001,1,87.5,2.6800001
44.2227,65.625,2.5,0,0,0
48.4244,81.25,2.95,0,0,0
56.8277,100,3.1600001,1,100,3.1600001
35.8193,100,3.1300001,0,0,0
44.2227,65.625,1.98,0,0,0
48.4244,28.125,2.03,1,28.125,2.03
52.6261,81.25,1.9299999,0,0,0
46.3235,75,1.88,0,0,0
48.4244,81.25,2.8599999,0,0,0
48.4244,96.875,2.3,0,0,0
27.416,84.375,2.1900001,0,0,0
48.4244,87.5,2.54,0,0,0
46.3235,100,2.9400001,0,0,0
56.8277,78.125,2.9300001,1,78.125,2.9300001
46.3235,81.25,2.5999999,0,0,0
56.8277,84.375,3.26,0,0,0
42.1218,100,3.29,0,0,0
61.0294,65.625,2.1900001,1,65.625,2.1900001
33.7185,100,3.02,1,100,3.02
48.4244,78.125,2.0899999,0,0,0
42.1218,87.5,2.1099999,1,87.5,2.1099999
63.1303,75,2.8299999,1,75,2.8299999
52.6261,71.875,2.3499999,0,0,0
58.9286,96.875,2.3800001,0,0,0
52.6261,100,3.1400001,1,100,3.1400001
42.1218,90.625,2.48,0,0,0
42.1218,90.625,2.52,0,0,0
50.5252,96.875,2.76,1,96.875,2.76
77.8361,90.625,3.7,1,90.625,3.7
58.9286,75,2.0799999,0,0,0
46.3235,53.125,2.3900001,0,0,0
33.7185,90.625,2.46,0,0,0
69.4328,96.875,3.7,1,96.875,3.7
50.5252,84.375,1.99,1,84.375,1.99
54.7269,62.5,2.5799999,1,62.5,2.5799999
58.9286,96.875,2.6700001,0,0,0
56.8277,84.375,1.91,0,0,0
48.4244,53.125,1.96,1,53.125,1.96
46.3235,53.125,2.1500001,0,0,0
46.3235,90.625,2.9400001,0,0,0
48.4244,84.375,2.1099999,0,0,0
58.9286,96.875,3.5,1,96.875,3.5
31.6177,37.5,1.84,0,0,0
48.4244,84.375,3.0999999,1,84.375,3.0999999
48.4244,78.125,2.8,0,0,0
50.5252,84.375,1.76,0,0,0
56.8277,81.25,2.97,0,0,0
44.2227,84.375,2.3699999,0,0,0
35.8193,71.875,1.6799999,0,0,0
42.1218,78.125,2.27,0,0,0
63.1303,84.375,3.0999999,1,84.375,3.0999999
54.7269,87.5,2.3800001,0,0,0
