testscore,attend,gpa,act,attendact,gpaact
46.3235,100,2.8399999,0,0,0
61.0294,87.5,3.6900001,1,87.5,3.6900001
61.0294,81.25,3.3699999,1,81.25,3.3699999
54.7269,71.875,2.1700001,0,0,0
61.0294,100,3.5999999,0,0,0
56.8277,87.5,3.28,1,87.5,3.28
33.7185,93.75,3.49,1,93.75,3.49
61.0294,84.375,2.8399999,0,0,0
54.7269,78.125,2.9200001,1,78.125,2.9200001
48.4244,100,2.75,1,100,2.75
50.5252,78.125,3.1700001,1,78.125,3.1700001
42.1218,84.375,2.4400001,0,0,0
42.1218,87.5,2.3499999,0,0,0
46.3235,100,2.1900001,0,0,0
65.2311,93.75,3.28,1,93.75,3.28
71.5336,56.25,2.25,1,56.25,2.25
40.021,46.875,1.59,1,46.875,1.59
44.2227,65.625,1.65,0,0,0
67.3319,75,2.6199999,0,0,0
56.8277,100,3.29,0,0,0
52.6261,56.25,1.4299999,1,56.25,1.4299999
52.6261,75,3.3900001,1,75,3.3900001
42.1218,78.125,2.3900001,0,0,0
69.4328,93.75,2.24,1,93.75,2.24
67.3319,100,3.8699999,1,100,3.8699999
44.2227,100,2.9000001,0,0,0
35.8193,90.625,2.6400001,0,0,0
69.4328,31.25,2.25,1,31.25,2.25
56.8277,84.375,2.1800001,0,0,0
46.3235,59.375,2.46,0,0,0
50.5252,53.125,2.6700001,1,53.125,2.6700001
58.9286,90.625,3.25,0,0,0
50.5252,81.25,2.4300001,0,0,0
42.1218,50,2.23,0,0,0
46.3235,56.25,2.6300001,1,56.25,2.6300001
23.2143,53.125,1.98,0,0,0
54.7269,18.75,1.8,1,18.75,1.8
58.9286,84.375,2.8099999,0,0,0
42.1218,75,2.27,0,0,0
35.8193,81.25,2.77,0,0,0
35.8193,46.875,2.0799999,1,46.875,2.0799999
54.7269,87.5,2.5,1,87.5,2.5
71.5336,93.75,3.8099999,1,93.75,3.8099999
48.4244,90.625,2.5699999,0,0,0
31.6177,93.75,1.9299999,0,0,0
54.7269,87.5,2.51,1,87.5,2.51
69.4328,87.5,2,0,0,0
65.2311,100,2.5899999,0,0,0
35.8193,71.875,2.6099999,1,71.875,2.6099999
40.021,37.5,2.51,1,37.5,2.51
63.1303,81.25,2.1500001,1,81.25,2.1500001
48.4244,15.625,1.91,1,15.625,1.91
73.6345,93.75,3.9200001,1,93.75,3.9200001
42.1218,78.125,2.8399999,1,78.125,2.8399999
61.0294,84.375,3.3099999,1,84.375,3.3099999
31.6177,87.5,2.04,0,0,0
54.7269,43.75,1.84,0,0,0
52.6261,87.5,2.97,1,87.5,2.97
42.1218,87.5,2.3599999,0,0,0
31.6177,71.875,2.1500001,0,0,0
44.2227,87.5,2,0,0,0
52.6261,84.375,1.74,0,0,0
44.2227,100,2.7,0,0,0
69.4328,90.625,3.5899999,1,90.625,3.5899999
44.2227,78.125,2.75,0,0,0
48.4244,90.625,2.74,0,0,0
46.3235,68.75,2.48,0,0,0
48.4244,96.875,2.48,1,96.875,2.48
44.2227,90.625,2.4400001,0,0,0
58.9286,81.25,2.8599999,1,81.25,2.8599999
63.1303,31.25,2.02,1,31.25,2.02
40.021,84.375,1.97,0,0,0
67.3319,71.875,2.8199999,1,71.875,2.8199999
75.7353,100,3.9000001,1,100,3.9000001
31.6177,87.5,2.4200001,0,0,0
61.0294,75,2.5,1,75,2.5
50.5252,75,2.1300001,0,0,0
61.0294,93.75,3.8,1,93.75,3.8
52.6261,96.875,3.02,0,0,0
69.4328,93.75,3.5,1,93.75,3.5
63.1303,100,3.3199999,0,0,0
50.5252,100,2.8399999,0,0,0
46.3235,96.875,2.74,0,0,0
35.8193,87.5,2.03,0,0,0
54.7269,96.875,3.23,1,96.875,3.23
50.5252,84.375,2.1900001,1,84.375,2.1900001
46.3235,71.875,2.24,0,0,0
54.7269,78.125,2.1500001,0,0,0
63.1303,87.5,2.3199999,1,87.5,2.3199999
52.6261,87.5,2.9400001,0,0,0
40.021,71.875,2.7,0,0,0
33.7185,43.75,1.2,1,43.75,1.2
35.8193,84.375,1.74,0,0,0
44.2227,90.625,2.8,0,0,0
63.1303,78.125,2.46,0,0,0
46.3235,78.125,2.2,0,0,0
61.0294,84.375,2.5999999,1,84.375,2.5999999
56.8277,93.75,2.21,0,0,0
40.021,87.5,2.1700001,0,0,0
44.2227,81.25,2.5999999,0,0,0
56.8277,18.75,2.9400001,1,18.75,2.9400001
50.5252,84.375,2.71,1,84.375,2.71
50.5252,81.25,1.8,0,0,0
56.8277,87.5,2.5899999,0,0,0
46.3235,53.125,2.6400001,1,53.125,2.6400001
58.9286,75,2.0999999,1,75,2.0999999
37.9202,81.25,2.49,1,81.25,2.49
35.8193,93.75,2.4300001,0,0,0
69.4328,78.125,2.9000001,1,78.125,2.9000001
37.9202,90.625,2.9100001,0,0,0
69.4328,90.625,2.98,1,90.625,2.98
46.3235,65.625,2.3900001,0,0,0
54.7269,90.625,3.04,1,90.625,3.04
44.2227,59.375,1.74,0,0,0
63.1303,90.625,3.5,1,90.625,3.5
37.9202,87.5,2.54,0,0,0
56.8277,100,2.45,0,0,0
42.1218,81.25,2.98,1,81.25,2.98
50.5252,90.625,1.96,0,0,0
37.9202,87.5,2.02,0,0,0
52.6261,100,1.91,0,0,0
37.9202,96.875,2.3,0,0,0
35.8193,84.375,2.5599999,0,0,0
35.8193,84.375,2.21,0,0,0
56.8277,75,2.1199999,0,0,0
42.1218,81.25,3.0899999,1,81.25,3.0899999
42.1218,96.875,1.5,0,0,0
42.1218,62.5,1.98,0,0,0
40.021,87.5,2.8199999,1,87.5,2.8199999
58.9286,71.875,3.1199999,1,71.875,3.1199999
46.3235,96.875,2.6800001,0,0,0
37.9202,37.5,2.5799999,0,0,0
46.3235,90.625,2.26,0,0,0
44.2227,37.5,2.47,1,37.5,2.47
31.6177,84.375,2.26,0,0,0
54.7269,96.875,3.21,0,0,0
56.8277,90.625,2.6600001,0,0,0
48.4244,81.25,3,0,0,0
50.5252,90.625,3.25,0,0,0
35.8193,93.75,2.8299999,0,0,0
65.2311,68.75,2.8399999,0,0,0
58.9286,90.625,1.95,0,0,0
52.6261,93.75,3.53,1,93.75,3.53
54.7269,46.875,1.75,1,46.875,1.75
31.6177,90.625,2.27,1,90.625,2.27
40.021,78.125,2.04,0,0,0
29.5168,90.625,1.3200001,0,0,0
46.3235,78.125,2.71,1,78.125,2.71
58.9286,65.625,1.88,0,0,0
54.7269,96.875,2.6700001,0,0,0
46.3235,81.25,2.9200001,0,0,0
40.021,90.625,1.34,0,0,0
63.1303,96.875,2.6800001,1,96.875,2.6800001
31.6177,31.25,2.29,1,31.25,2.29
56.8277,90.625,2.3900001,1,90.625,2.3900001
61.0294,71.875,3.5999999,1,71.875,3.5999999
58.9286,81.25,2.5599999,1,81.25,2.5599999
37.9202,84.375,2.6099999,0,0,0
58.9286,84.375,2.75,1,84.375,2.75
54.7269,65.625,2.3800001,0,0,0
52.6261,56.25,2.75,1,56.25,2.75
19.0126,84.375,3.1300001,0,0,0
58.9286,84.375,2.6300001,1,84.375,2.6300001
44.2227,87.5,2.6199999,0,0,0
58.9286,84.375,2.29,0,0,0
56.8277,50,2.8900001,1,50,2.8900001
56.8277,71.875,1.25,1,71.875,1.25
50.5252,68.75,2.51,0,0,0
46.3235,81.25,2.46,0,0,0
48.4244,59.375,1.8200001,0,0,0
58.9286,28.125,1.52,1,28.125,1.52
29.5168,93.75,3,0,0,0
48.4244,12.5,2.1400001,1,12.5,2.1400001
58.9286,100,3.23,0,0,0
56.8277,96.875,2.3800001,0,0,0
46.3235,87.5,1.88,0,0,0
54.7269,87.5,2.77,0,0,0
48.4244,78.125,2.6099999,1,78.125,2.6099999
52.6261,78.125,2.01,0,0,0
61.0294,100,2.8900001,1,100,2.8900001
61.0294,59.375,2.1600001,0,0,0
71.5336,100,3.8099999,1,100,3.8099999
54.7269,78.125,2,0,0,0
31.6177,87.5,1.89,0,0,0
54.7269,75,2.1199999,0,0,0
58.9286,100,2.8800001,1,100,2.8800001
63.1303,96.875,3.05,0,0,0
42.1218,84.375,2.23,0,0,0
46.3235,93.75,2.1099999,0,0,0
46.3235,84.375,2.6099999,0,0,0
69.4328,90.625,2.98,1,90.625,2.98
46.3235,81.25,2.73,1,81.25,2.73
67.3319,100,3.9300001,1,100,3.9300001
44.2227,65.625,1.99,1,65.625,1.99
61.0294,87.5,2.76,0,0,0
40.021,81.25,1.83,0,0,0
40.021,78.125,2.5799999,0,0,0
50.5252,81.25,2.1199999,1,81.25,2.1199999
56.8277,93.75,2.6800001,0,0,0
40.021,84.375,2.02,0,0,0
42.1218,50,2.0599999,0,0,0
35.8193,84.375,2.27,0,0,0
46.3235,40.625,3.04,1,40.625,3.04
44.2227,15.625,1.6,1,15.625,1.6
56.8277,100,2.71,0,0,0
52.6261,34.375,1.74,1,34.375,1.74
44.2227,100,1.66,0,0,0
46.3235,78.125,2.22,0,0,0
48.4244,90.625,3.05,0,0,0
48.4244,40.625,2.0599999,0,0,0
52.6261,84.375,2.9000001,0,0,0
48.4244,93.75,2.6300001,0,0,0
52.6261,87.5,2.28,0,0,0
50.5252,28.125,1.79,0,0,0
42.1218,65.625,2.8,1,65.625,2.8
56.8277,93.75,2.9100001,1,93.75,2.9100001
65.2311,59.375,1.6,0,0,0
44.2227,53.125,1.35,1,53.125,1.35
54.7269,93.75,3.1800001,1,93.75,3.1800001
42.1218,96.875,2.9200001,0,0,0
67.3319,96.875,3.05,1,96.875,3.05
42.1218,90.625,3.0899999,1,90.625,3.0899999
56.8277,56.25,2.5999999,0,0,0
54.7269,93.75,2.4300001,0,0,0
40.021,75,2.6700001,1,75,2.6700001
44.2227,43.75,1.63,1,43.75,1.63
46.3235,93.75,2.6500001,0,0,0
52.6261,96.875,3.25,0,0,0
56.8277,87.5,3.6500001,0,0,0
33.7185,93.75,2.05,0,0,0
48.4244,84.375,2.1600001,0,0,0
67.3319,59.375,1.55,0,0,0
54.7269,90.625,2.75,0,0,0
48.4244,96.875,2.6600001,0,0,0
63.1303,87.5,2.8,0,0,0
61.0294,90.625,3.0799999,0,0,0
40.021,84.375,2.1400001,0,0,0
56.8277,90.625,3.49,1,90.625,3.49
46.3235,37.5,1.4299999,1,37.5,1.4299999
44.2227,87.5,2.4300001,0,0,0
29.5168,96.875,2.3,0,0,0
52.6261,93.75,2.78,0,0,0
44.2227,78.125,2.3599999,0,0,0
44.2227,81.25,2.8599999,0,0,0
48.4244,93.75,2.8,1,93.75,2.8
50.5252,100,2.4200001,1,100,2.4200001
63.1303,93.75,3.8800001,1,93.75,3.8800001
71.5336,81.25,3.28,1,81.25,3.28
54.7269,93.75,1.98,0,0,0
50.5252,100,2.96,0,0,0
48.4244,90.625,2.8599999,1,90.625,2.8599999
56.8277,87.5,2.1600001,0,0,0
40.021,96.875,2.3,0,0,0
35.8193,46.875,1.48,0,0,0
52.6261,93.75,2.98,1,93.75,2.98
50.5252,78.125,3.48,1,78.125,3.48
42.1218,46.875,1.67,1,46.875,1.67
56.8277,87.5,3.9100001,1,87.5,3.9100001
48.4244,100,3.25,0,0,0
42.1218,87.5,2.25,0,0,0
48.4244,96.875,2.6600001,0,0,0
50.5252,46.875,2.48,1,46.875,2.48
54.7269,84.375,3.0699999,1,84.375,3.0699999
63.1303,93.75,2.5,0,0,0
40.021,96.875,2.6700001,0,0,0
46.3235,50,2.95,1,50,2.95
48.4244,93.75,2.5699999,0,0,0
44.2227,93.75,2.5,0,0,0
50.5252,93.75,2.54,1,93.75,2.54
50.5252,87.5,2.1700001,0,0,0
37.9202,93.75,2.6600001,0,0,0
48.4244,78.125,2.2,0,0,0
44.2227,93.75,3.3599999,0,0,0
42.1218,50,2.24,0,0,0
54.7269,84.375,2.03,1,84.375,2.03
46.3235,75,3.0999999,0,0,0
56.8277,50,2,0,0,0
31.6177,31.25,1.8,0,0,0
46.3235,87.5,2.52,0,0,0
69.4328,93.75,2.97,1,93.75,2.97
42.1218,34.375,2.27,0,0,0
46.3235,84.375,3.1300001,1,84.375,3.1300001
61.0294,84.375,2.1600001,1,84.375,2.1600001
52.6261,62.5,2.0599999,0,0,0
33.7185,56.25,2.1099999,0,0,0
46.3235,31.25,2.01,0,0,0
42.1218,84.375,3.24,1,84.375,3.24
54.7269,96.875,3.53,0,0,0
56.8277,100,2.4100001,0,0,0
54.7269,93.75,2.6199999,1,93.75,2.6199999
61.0294,96.875,3.1300001,1,96.875,3.1300001
58.9286,100,2.95,0,0,0
50.5252,87.5,2.95,0,0,0
54.7269,90.625,3.6600001,1,90.625,3.6600001
46.3235,53.125,2.05,0,0,0
71.5336,81.25,3.0799999,1,81.25,3.0799999
46.3235,56.25,2.28,0,0,0
42.1218,87.5,2.3900001,0,0,0
56.8277,100,2.5599999,0,0,0
44.2227,96.875,2.21,0,0,0
48.4244,56.25,2.8599999,1,56.25,2.8599999
54.7269,75,2.95,1,75,2.95
52.6261,93.75,3,0,0,0
67.3319,96.875,3.4100001,1,96.875,3.4100001
54.7269,100,3,0,0,0
40.021,81.25,1.38,0,0,0
37.9202,65.625,2.27,1,65.625,2.27
44.2227,78.125,2.4200001,1,78.125,2.4200001
67.3319,71.875,2.6199999,0,0,0
50.5252,90.625,3.01,1,90.625,3.01
42.1218,50,1.95,0,0,0
48.4244,96.875,2.8299999,1,96.875,2.8299999
61.0294,75,3.05,0,0,0
40.021,56.25,2.51,0,0,0
42.1218,53.125,1.48,0,0,0
50.5252,90.625,1.9400001,0,0,0
50.5252,87.5,2.46,0,0,0
50.5252,71.875,3.5,1,71.875,3.5
42.1218,59.375,2.1800001,0,0,0
52.6261,96.875,2.48,0,0,0
63.1303,56.25,3.3299999,1,56.25,3.3299999
52.6261,84.375,2.8299999,1,84.375,2.8299999
52.6261,81.25,2.6500001,0,0,0
29.5168,96.875,2.5,0,0,0
67.3319,96.875,3.78,1,96.875,3.78
50.5252,100,3.54,0,0,0
48.4244,90.625,3.0699999,1,90.625,3.0699999
58.9286,93.75,3.72,1,93.75,3.72
54.7269,71.875,2.48,1,71.875,2.48
50.5252,81.25,3.0999999,1,81.25,3.0999999
50.5252,96.875,3.5,0,0,0
42.1218,75,1.96,0,0,0
50.5252,59.375,1.84,0,0,0
44.2227,96.875,2.73,1,96.875,2.73
50.5252,90.625,3.48,1,90.625,3.48
42.1218,78.125,2.3099999,0,0,0
35.8193,100,2.3800001,0,0,0
58.9286,100,3.6099999,0,0,0
52.6261,87.5,3.02,1,87.5,3.02
56.8277,43.75,1.1900001,1,43.75,1.1900001
